model,precision,batch_size,power_mode,p_peak_w,energy_per_inf_j,thermal_ramp_c_per_s,speed_score,pareto
resnet50,FP16,1,15W,10.385344,0.2451509378431306,-0.0178287996535945,41.47020922246474,0
resnet50,FP16,1,15W,10.46432,0.245980355941367,-0.0365947793059108,41.81929479080991,0
resnet50,FP16,1,15W,10.385344,0.244231311662107,-0.0402883984182319,41.66364810064093,0
resnet50,FP16,1,15W,9.714048,1.087093728247127,-0.1198858514903316,8.39979738768067,0
resnet50,FP16,1,15W,9.49248,1.0777284201137185,-0.0915144420313506,8.497512457237779,0
resnet50,FP16,1,15W,9.49248,1.101821341034409,-0.0688891229162169,8.16067163150117,0
resnet50,FP16,1,25W,9.571584,0.2526606607258077,0.0029156858922025,37.1537529465694,0
resnet50,FP16,1,25W,9.571584,0.2560785580170295,0.0134766572972316,36.664443170248525,0
resnet50,FP16,1,25W,9.49248,0.2547456907879269,-0.0081807904925784,36.702324407848366,0
resnet50,FP16,1,25W,9.532032,1.089030662259901,-0.0463005661432119,8.212101410221381,0
resnet50,FP16,1,25W,9.49248,1.103975374297014,-0.0332945419222627,8.053979196383574,0
resnet50,FP16,1,25W,9.49248,1.0742147483491886,-0.0151504076092904,8.370706137098145,0
resnet50,FP16,1,MAXN,11.333056,0.2312088901833446,0.1957142957391246,47.271539182521884,0
resnet50,FP16,1,MAXN,11.214592,0.2349688510130738,0.1637670711771072,46.56774017117483,0
resnet50,FP16,1,MAXN,11.293568,0.2311545463432272,0.1410114123709017,47.70321878251181,0
resnet50,FP16,1,MAXN,9.769343999999998,1.1187669629788068,-0.0238216843046684,8.10603299389512,0
resnet50,FP16,1,MAXN,9.571584,1.1157019135050046,-0.0119357141346055,8.109634389081345,0
resnet50,FP16,1,MAXN,9.69024,1.1153510267722573,-0.0102570826423819,8.13685726451028,0
resnet50,FP16,2,15W,12.457984,0.2880516361456896,0.3351699514683589,41.56366744219771,0
resnet50,FP16,2,15W,12.3984,0.287707920414202,0.2094767071976935,41.8527180419036,0
resnet50,FP16,2,15W,12.339712,0.2874790218848253,0.2269475367182121,41.64859994363548,0
resnet50,FP16,2,15W,10.938176,1.2254550675866858,0.0025728704945155,8.265490606596824,0
resnet50,FP16,2,15W,10.938176,1.224419562095024,0.0087528737725557,8.410582948583079,0
resnet50,FP16,2,15W,11.017152,1.236801089196602,-0.0028834790110129,8.283878128514413,0
resnet50,FP16,2,25W,11.43296,0.291583024273631,0.1756663265713619,38.08734152289819,0
resnet50,FP16,2,25W,11.393536,0.2930093094975885,0.1156255255855921,38.06135826654068,0
resnet50,FP16,2,25W,11.45152,0.2929613054794603,0.1000561183296745,38.05541152928097,0
resnet50,FP16,2,25W,11.293568,1.215631838001653,-0.0141912019244995,8.326593269254277,0
resnet50,FP16,2,25W,11.293568,1.1924865454594622,-0.0011367569885032,8.615962398959995,0
resnet50,FP16,2,25W,11.214592,1.1849893442821458,-0.0041226619501438,8.640717971385458,0
resnet50,FP16,2,MAXN,14.185856,0.2780824208444606,0.529322977704003,48.09098959890063,0
resnet50,FP16,2,MAXN,14.225152,0.2817663891592673,0.2983357404618545,48.38205116615186,0
resnet50,FP16,2,MAXN,14.14656,0.2813774666468557,0.3093119724575925,48.3700482669801,0
resnet50,FP16,2,MAXN,11.866624,1.237348131070249,-0.0293659380445319,8.332656221225756,0
resnet50,FP16,2,MAXN,11.590656,1.1915121234284816,0.0061488329748704,8.909148897985311,0
resnet50,FP16,2,MAXN,12.51648,1.1580488559262334,-0.0493911118280153,9.509070965529604,0
resnet50,FP16,4,15W,14.14656,0.433863670389159,0.2916373198755779,31.628209003093488,0
