model,precision,batch_size,power_mode,schedule,mode,seq_len,gen_tokens,p_peak_w,p_avg_w,p_idle_w,p_p95_w,peak_to_avg,dpdt_max_w_per_s,dpdt_p95_w_per_s,transient_count,temp_max_c,thermal_ramp_c_per_s,energy_total_j,energy_per_inf_j,duration_s,n_inferences,backend,throughput_infps,trace_source,repeat,final_loss
mobilenet_v3_large,FP16,8,15W,default,train,128,64,10.740736,10.00343751250613,9.6087296,10.402175999999999,1.07370451273096,9.56769895328143,6.201467725669907,0.0,53.375,0.007831076282548404,264.43681780942813,1.3221840890471406,26.42395979399953,200.0,torch-cuda-FP16-train,7.570069353099307,ina3221,0,5.775464160251431e-05
mobilenet_v3_large,FP16,8,15W,default,train,128,64,10.402175999999999,9.939947990525818,9.650688,10.204415999999998,1.0465020551329594,9.896957572491889,6.19529027667211,0.0,53.593,0.0035547052180624154,269.3552465066083,1.3467762325330415,27.093713890999425,200.0,torch-cuda-FP16-train,7.38117812467209,ina3221,1,0.0005774293094873428
mobilenet_v3_large,FP16,8,25W,default,inference,128,64,11.175104,10.88598670422535,9.897888,11.096128,1.026558666993634,9.370809527865338,6.026436762232166,0.0,53.75,0.13664083563240453,60.086749391045544,0.30043374695522773,5.520513122999546,200.0,torch-cuda-FP16,36.22042995722984,ina3221,0,
mobilenet_v3_large,FP16,8,25W,default,inference,128,64,11.175104,10.974066066985646,10.67904,11.135616,1.0183193660205085,9.054468976644873,5.967895257790107,0.0,54.031,0.044374602982106416,60.73973124033953,0.30369865620169767,5.534535683000286,200.0,torch-cuda-FP16,36.1079002040551,ina3221,1,
mobilenet_v3_large,FP16,8,25W,default,train,128,64,10.780224,9.943363160865475,9.729792,10.164864,1.084162755155941,11.67119781733925,6.05828869942071,0.0,53.906,0.001732378870634003,272.3279514127936,1.361639757063968,27.383039505999477,200.0,torch-cuda-FP16-train,7.305493680383429,ina3221,0,0.0003452265518717468
mobilenet_v3_large,FP16,8,25W,default,train,128,64,10.780224,10.01175488,9.729792,10.283520000000001,1.0767566854373487,15.772308563427064,6.191697875290705,0.0,54.125,0.005603379789689065,270.96198195640494,1.3548099097820248,27.059733140999015,200.0,torch-cuda-FP16-train,7.389944557045458,ina3221,1,0.0014145050663501024
mobilenet_v3_large,FP16,8,MAXN,default,inference,128,64,13.50048,12.961306857142858,10.750608,13.461120000000001,1.0415986712450995,12.10084712355487,6.084540203234156,0.0,55.312,0.36210260952364515,56.648028523883106,0.28324014261941555,4.3680556359995535,200.0,torch-cuda-FP16,45.68636738607668,ina3221,0,
mobilenet_v3_large,FP16,8,MAXN,default,inference,128,64,13.53984,13.287993060240964,12.734928,13.461120000000001,1.018952970446123,6.272294553117192,6.008879282350053,0.0,55.593,0.13083174867055247,57.70888492474616,0.2885444246237308,4.342323946000761,200.0,torch-cuda-FP16,45.999944507495535,ina3221,1,
mobilenet_v3_large,FP16,8,MAXN,default,train,128,64,12.142592,10.639209047120419,9.927552,11.749654399999999,1.1413058946601378,17.215491714104747,6.468630393844663,0.0,55.437,-0.03293266009181737,260.43849878357304,1.3021924939178653,24.46950472900062,200.0,torch-cuda-FP16-train,8.171437148841806,ina3221,0,0.0005845109699293971
mobilenet_v3_large,FP16,8,MAXN,default,train,128,64,11.017152,10.249315941804074,9.888,10.701248,1.07491583463284,11.94795877317463,6.3986125987857365,0.0,55.093,-0.020001444053373552,271.3230813036822,1.356615406518411,26.46390262800014,200.0,torch-cuda-FP16-train,7.557689407976183,ina3221,1,0.00033022958086803555
