model,precision,batch_size,power_mode,schedule,mode,seq_len,gen_tokens,p_peak_w,p_avg_w,p_idle_w,p_p95_w,peak_to_avg,dpdt_max_w_per_s,dpdt_p95_w_per_s,transient_count,temp_max_c,thermal_ramp_c_per_s,energy_total_j,energy_per_inf_j,duration_s,n_inferences,backend,throughput_infps,trace_source,repeat,final_loss
resnet18,FP16,8,25W,default,inference,128,64,62.66393599999999,59.45771543558282,50.039168000000004,62.50556159999999,1.053924382074364,39.329155036517626,26.618719736306694,0.0,59.875,0.3748126372299412,165.78376038568786,0.8289188019284393,2.7861438489999273,200.0,torch-cuda-FP16,71.35240721885465,ina3221,1,
resnet18,FP16,8,25W,default,train,128,64,54.479744,53.048701316770185,52.603328000000005,53.815168,1.02697601727674,29.095050545505146,22.043884969229406,0.0,59.875,0.04748450831595473,575.2300082844472,2.876150041422236,10.842801821999274,200.0,torch-cuda-FP16-train,18.433027391944144,ina3221,0,0.0004123192047700286
resnet18,FP16,8,25W,default,train,128,64,57.435199999999995,53.16411658877087,51.160883199999994,55.6047232,1.0803377105702017,32.038781348969536,20.457838247782153,0.0,60.5,0.026259333213420458,601.2507720633962,3.006253860316981,11.313116973999968,200.0,torch-cuda-FP16-train,17.681904504892,ina3221,1,0.00039404176641255617
resnet18,FP16,8,MAXN,default,inference,128,64,67.324864,59.84362124867726,42.98592,66.8197888,1.1250132026642372,69.55329063715953,41.093992891556084,0.0,61.062,0.8334477199583823,184.53914390155728,0.9226957195077864,3.0791511639999953,200.0,torch-cuda-FP16,64.65078769704253,ina3221,0,
resnet18,FP16,8,MAXN,default,inference,128,64,69.15481600000001,63.883510243902435,55.080543999999996,68.96051200000001,1.0825143411182656,46.223586274042596,23.863734938053412,0.0,61.843,0.5700291013921406,178.003969034073,0.890019845170365,2.7847795500001666,200.0,torch-cuda-FP16,71.43129765507365,ina3221,1,
resnet18,FP16,8,MAXN,default,train,128,64,58.305279999999996,56.97573268231612,56.41811200000001,57.862028800000004,1.0233353263765317,31.63364058485616,24.328798034510378,0.0,61.687,0.026857789177321043,609.7873737267348,3.048936868633674,10.702495327000179,200.0,torch-cuda-FP16-train,18.667071179859214,ina3221,0,0.00041878249612636864
resnet18,FP16,8,MAXN,default,train,128,64,57.901376,56.828284578616355,56.349984000000006,57.471936,1.0188830514477192,30.982019363196386,24.579221556380006,0.0,61.875,0.031436198763108304,606.6884089917226,3.033442044958613,10.675225590999617,200.0,torch-cuda-FP16-train,18.716902964243264,ina3221,1,0.00037749361945316195
mobilenet_v3_large,FP16,1,15W,default,inference,128,64,25.823615999999998,25.446121611307422,25.269376000000005,25.744512000000004,1.0148350461598372,12.018323583861687,4.5596817518620245,0.0,58.75,-0.09672339433161141,126.30194983547338,0.6315097491773669,4.963141799999903,200.0,torch-cuda-FP16,40.23574194434052,ina3221,0,
mobilenet_v3_large,FP16,1,15W,default,inference,128,64,25.546495999999998,25.321930034843202,25.190144,25.427712,1.0088684379448087,8.897410779230388,4.52992074570518,0.0,58.25,-0.09945771787920847,126.08847580862098,0.630442379043105,4.979564688999744,200.0,torch-cuda-FP16,40.05405965856136,ina3221,1,
mobilenet_v3_large,FP16,1,15W,default,train,128,64,29.181376,23.752889109826587,23.001600000000003,24.884697600000003,1.2285400679081033,29.72173304666192,8.867538256716603,0.0,57.468,-0.07508955914524156,573.7847846447397,2.8689239232236985,24.149947984999926,200.0,torch-cuda-FP16-train,8.2802212757429,ina3221,0,0.0
