model,precision,batch_size,power_mode,schedule,mode,seq_len,gen_tokens,p_peak_w,p_avg_w,p_idle_w,p_p95_w,peak_to_avg,dpdt_max_w_per_s,dpdt_p95_w_per_s,transient_count,temp_max_c,thermal_ramp_c_per_s,energy_total_j,energy_per_inf_j,duration_s,n_inferences,backend,throughput_infps,trace_source,qps,repeat
resnet50,INT4,4,25W,default,inference,128,64,20.317504,19.64830726943942,16.1135232,20.278655999999998,1.0340587472184657,28.11747348141393,13.088096436415237,0.0,62.968,0.3508329429280363,129.72973470675933,0.11761535331528498,6.598115390999737,1103.0,trt-int4,167.1150850744857,ina3221,167.132,2
resnet50,INT4,4,MAXN,default,inference,128,64,22.4576,21.78048256427379,18.106752,22.4576,1.0310882660073324,34.729501222236145,11.195615546077907,0.0,64.312,0.47851173477708603,143.16514854753416,0.12184267961492269,6.569314710999606,1175.0,trt-int4,178.7234577250943,ina3221,178.739,0
resnet50,INT4,4,MAXN,default,inference,128,64,22.535040000000002,21.821970351254482,18.3011808,22.49632,1.032676684885356,32.396585982092084,12.397661461307807,0.0,65.218,0.3584224689908848,143.5777120658532,0.12198616148330774,6.564203457999611,1177.0,trt-int4,179.1140042719639,ina3221,179.132,1
resnet50,INT4,4,MAXN,default,inference,128,64,22.535040000000002,21.87993727536232,18.5136,22.49632,1.0299407953685202,32.17808392556851,12.87924120665567,0.0,66.031,0.3335610698556977,143.72235944477958,0.12210905645265895,6.570717951999541,1177.0,trt-int4,178.96396288515984,ina3221,178.995,2
resnet50,INT4,8,15W,default,inference,128,64,16.697408,15.95571817142857,12.788064,16.540992,1.0464842648010386,19.710217663526645,9.818008452078033,0.0,57.812,0.43166918880371125,105.9713722048935,0.2436123498963069,6.629846183999689,435.0,trt-int4,65.59467983609122,ina3221,65.5756,0
resnet50,INT4,8,15W,default,inference,128,64,16.540992,16.003352127433626,13.203456000000001,16.528896,1.0335954535203113,22.80022782294651,10.349726441972802,0.0,58.781,0.32345731432841507,106.28792840832419,0.24434006530649238,6.62895979699897,435.0,trt-int4,65.53190397476915,ina3221,65.5584,1
resnet50,INT4,8,15W,default,inference,128,64,16.540992,16.019628919931858,13.3331328,16.501887999999997,1.0325452657283125,21.987462330620684,10.309261336001429,0.0,59.468,0.2854514773574661,106.36551619323436,0.2445184280304238,6.631122009999672,435.0,trt-int4,65.53956399166995,ina3221,65.5549,2
resnet50,INT4,8,25W,default,inference,128,64,21.172159999999998,20.406479421686747,15.941376,21.172159999999998,1.0375214441693226,29.956036000763785,14.53199088652623,0.0,61.718,0.5794262777991785,135.48706974982355,0.21677931159971767,6.6307240659989475,625.0,trt-int4,94.2585702020781,ina3221,94.3318,0
resnet50,INT4,8,25W,default,inference,128,64,21.253632000000003,20.478802483754514,16.1225792,21.249856,1.0378356848189805,29.03899282441015,13.678116003220625,0.0,62.75,0.43087386363220004,135.67774298575995,0.216391934586539,6.621689546998823,627.0,trt-int4,94.5428132015514,ina3221,94.5507,1
resnet50,INT4,8,25W,default,inference,128,64,21.292416,20.50760637908497,16.275084800000002,21.253632000000003,1.0382691966291802,28.741638342559764,14.43985402570962,0.0,63.593,0.39994743305744596,135.91538085573697,0.21642576569384867,6.629941699000483,628.0,trt-int4,94.63233182510587,ina3221,94.6717,2
resnet50,INT4,8,MAXN,default,inference,128,64,22.3008,21.531740664495114,17.605088000000002,22.223232,1.0357174715917432,32.39890746917957,14.616989118164101,0.0,64.562,0.4592427434317372,142.06940070096366,0.23176084943060954,6.598564895999516,613.0,trt-int4,92.89547563610517,ina3221,92.8758,0
resnet50,INT4,8,MAXN,default,inference,128,64,22.3008,21.57330483116883,17.89008,22.262016,1.0337220084972838,32.47392130319387,14.571018889986867,0.0,65.312,0.38003434644367134,142.16326461239953,0.23191397163523578,6.591359652000392,613.0,trt-int4,92.88578668206691,ina3221,92.8462,1
resnet50,INT4,8,MAXN,default,inference,128,64,22.34144,21.56532612413793,17.683168,22.264,1.0359889700436002,33.703287526012815,14.521319121643318,0.0,66.0,0.3624303609280059,142.14752857686938,0.2322672035569761,6.585474669998803,612.0,trt-int4,92.85286409030158,ina3221,92.8837,2
resnet50,INT4,16,15W,default,inference,128,64,17.323072,16.738420435087722,13.496211200000001,17.323072,1.0349287178667534,21.82315264350531,10.24338846810647,0.0,58.437,0.45953449097219323,112.34253323955738,0.46809388849815575,6.7125083209994045,240.0,trt-int4,35.69849758624093,ina3221,35.64,0
resnet50,INT4,16,15W,default,inference,128,64,17.362175999999998,16.831425635782747,14.038496,17.3524,1.0315332982304781,21.197818161092428,10.818648757909513,0.0,59.375,0.31765263470881566,112.49098768278827,0.4706735886309133,6.6854502949991,239.0,trt-int4,35.69748699007875,ina3221,35.6528,1
resnet50,INT4,16,15W,default,inference,128,64,17.323072,16.83119918210863,14.077792,17.323072,1.0292238724388827,21.88557787893495,10.728260010068256,0.0,60.156,0.297225745735366,112.62364288622366,0.47122863132311155,6.693640076999145,239.0,trt-int4,35.67299804116384,ina3221,35.6331,2
resnet50,INT4,16,25W,default,inference,128,64,22.223232,21.41127762652705,16.8694656,22.184448,1.0379218086671762,32.10905687628348,16.073365502342938,0.0,62.437,0.5413330188584377,143.13476585039587,0.425996326935702,6.693684148000102,336.0,trt-int4,50.17837198596127,ina3221,50.2399,0
resnet50,INT4,16,25W,default,inference,128,64,22.3008,21.45850762629758,17.047078399999997,22.225279999999998,1.0392521413124827,31.837273244894707,16.200293711023843,0.0,63.5,0.419788803238753,143.02075748902087,0.42565701633637165,6.674472810000225,336.0,trt-int4,50.343288713193566,ina3221,50.3404,1
resnet50,INT4,16,25W,default,inference,128,64,22.34144,21.431295679465777,16.810809600000002,22.30272,1.042468002595208,30.801233254741874,14.340727018551004,0.0,64.375,0.4251844369031669,143.0984048977548,0.42462434687761064,6.678409643998748,337.0,trt-int4,50.416469472381586,ina3221,50.3941,2
resnet50,INT4,16,MAXN,default,inference,128,64,22.378368,21.628912481203006,17.806144,22.339584,1.0346506334725947,31.200051053062467,14.873717376648091,0.0,65.093,0.4380489402058041,143.72610248437417,0.45918882582867143,6.6451684619987645,313.0,trt-int4,47.094756242498065,ina3221,47.0337,0
resnet50,INT4,16,MAXN,default,inference,128,64,22.34144,21.64817307641196,18.0127584,22.30272,1.0320242692600896,31.171323733941964,14.300945037664412,0.0,65.875,0.3463996878573133,143.49341930924118,0.45844542910300695,6.6315597480006545,313.0,trt-int4,47.18441407775485,ina3221,47.1144,1
resnet50,INT4,16,MAXN,default,inference,128,64,22.34144,21.644912625,18.010809599999998,22.30272,1.0321797268054345,32.31554774759725,15.044263109626456,0.0,66.375,0.33493764314169494,143.80163432946483,0.4594301416276832,6.6396726389994,313.0,trt-int4,47.06696431505094,ina3221,47.0207,2
mobilenet_v3_large,FP32,1,15W,default,inference,128,64,11.827200000000001,11.571582391382405,10.3379584,11.787776,1.0220901169755279,11.073880456597228,3.656924381722555,0.0,56.0,0.136971418859378,76.29558489102565,0.033316849297391114,6.586599491000015,2290.0,trt-fp32,347.40131067404815,ina3221,347.368,0
mobilenet_v3_large,FP32,1,15W,default,inference,128,64,12.02432,11.628155302752292,10.464319999999999,11.9770112,1.0340694363751695,9.81335687484233,3.6404729156871825,0.0,56.343,0.11662889685261561,76.53671293115195,0.03340755693197379,6.5762269429997104,2291.0,trt-fp32,347.9145676137706,ina3221,347.972,1
mobilenet_v3_large,FP32,1,15W,default,inference,128,64,11.827200000000001,11.599258242214532,10.4583968,11.827200000000001,1.0196514081353836,9.82115372805995,3.6568592758165375,0.0,56.593,0.12656425734027307,76.37204444617657,0.033350237749422085,6.579730178000318,2290.0,trt-fp32,347.49233196562676,ina3221,347.56,2
mobilenet_v3_large,FP32,1,25W,default,inference,128,64,13.989376,13.631970119205297,11.793689599999999,13.95008,1.0262182118702838,14.535679486791901,7.063314963029921,0.0,57.656,0.24527299859502452,89.87157255534942,0.02798865542053859,6.593368409001414,3211.0,trt-fp32,486.62884401290205,ina3221,486.587,0
